date,Belmullet,Birr,Cahirciveen,Casement,Claremorris,Clones,Cork airport,Dublin airport,Galway,Kilkenny,Malin head,Mullingar,Roches Point,Rosslare,Shannon airport
1962-07,42.7,52.8,68.6,..,62.5,57.3,92.2,68,..,57.9,43.9,55.9,69.6,92.3,53.9
1962-08,105.6,115.4,125.1,..,100.7,119.5,99.4,73.1,..,87.3,135.8,106.2,69.9,91.4,131.9
1962-09,130.3,142.1,143.5,..,152.7,149.5,122.4,129.2,..,123.6,123,177.3,81.6,100.2,107.6
1962-10,59.3,29.4,71.4,..,34.2,52.5,42.6,16.8,..,39.9,38.9,38.8,25.4,28.9,47.5
1962-11,145.3,85,123.3,..,111.8,56.1,105.5,47.9,..,84,97.3,73.5,87.9,87.2,83
1962-12,98.2,75.9,131.7,..,103,116.3,86.4,75.3,..,59.3,95.4,112.3,67.7,83.3,90.6
1963-01,21,9.8,26.1,..,16.5,22.7,34.8,41.1,..,12.1,35.2,27.5,28.2,31.8,11.2
1963-02,30.8,30.8,122.4,..,35.7,31.3,96,61.9,..,61.5,34.4,33.2,81.9,88.7,34.7
1963-03,141.3,84.6,260,..,129.1,124.7,212.5,65.2,..,110.4,89.2,106.1,161.4,103.6,82.2
1963-04,72.5,43.5,99.2,..,66.4,55.2,113.7,47,..,49.6,59.8,64,79.6,87.4,59.4
1963-05,106.9,57.2,83.1,..,109.3,79.2,53.9,42,..,53.6,101.1,64.8,38.7,54.1,54.3
1963-06,51.2,56.9,54.5,..,42.4,72.7,46.2,54.3,..,74.2,54.2,56.4,48,72.9,46
1963-07,98.2,62.5,118.3,..,79.9,40.1,76.6,23.5,..,57.2,71.8,73.5,56.3,35.6,57.8
1963-08,98.6,80.2,116.7,..,87.1,89.7,104.3,103.1,..,62.9,58.8,90.5,88.7,117,91.5
1963-09,88.4,49.9,66.5,..,64.3,63.8,39.5,44.9,..,44.3,92.5,67.7,32.9,51.8,61.1
1963-10,116.4,120.4,160.6,..,139.5,111.1,143.1,47.6,..,108.5,148.9,111,104.6,65.2,116.1
1963-11,174.1,113.9,209.4,..,165.8,139.3,206.9,95.9,..,116.3,191.3,137.1,145.4,206,145.3
1963-12,58.9,25,79.2,..,59.9,26.5,112.9,16.4,..,30.3,41,22.9,60.9,42.7,29.8
1964-01,78.5,43.6,49.6,18.1,56.2,47.1,35.9,14.8,..,18.6,48.5,46.2,26.5,21.4,48.5
1964-02,29.8,24.8,126.8,22.4,48.4,39.1,166.4,28.3,..,37.6,22.7,46.3,95.1,43.9,20.4
1964-03,44.5,76.3,194.4,64.1,83.2,73.7,233.9,106.6,..,128.6,38,88.7,157.2,124.2,74.8
